""
MY_00001|frankfurt_000000_000576_gtFine
MY_00002|frankfurt_000000_001236_gtFine
MY_00003|frankfurt_000000_003357_gtFine
MY_00004|frankfurt_000000_011810_gtFine
MY_00005|frankfurt_000000_012868_gtFine
MY_00006|frankfurt_000001_013710_gtFine
MY_00007|frankfurt_000001_015328_gtFine
MY_00008|frankfurt_000001_023769_gtFine
MY_00009|frankfurt_000001_028335_gtFine
MY_00010|frankfurt_000001_032711_gtFine
MY_00011|frankfurt_000001_033655_gtFine
MY_00012|frankfurt_000001_042733_gtFine
MY_00013|frankfurt_000001_047552_gtFine
MY_00014|frankfurt_000001_054640_gtFine
MY_00015|frankfurt_000001_055387_gtFine
